cpu_usage,memory_usage,packet_loss,latency_ms,bandwidth_util,interface_up_count,ospf_neighbors,error_count,label
93.03273705420723,75.39766430324154,20.474745536877194,159.64112743937483,99.43013693505694,4,3,21,DDOS_ATTACK
25.757636666019565,27.862610426626567,0.13752895837608828,4.167611190229492,23.699306609596423,5,2,1,NORMAL
43.75837328765704,56.39560395925818,71.5565974049442,471.4283976101375,31.454669865593402,1,1,52,LINK_FAILURE
98.65079677677365,87.61595610616078,1.164875496027765,74.79369576845633,91.16666377797667,3,3,7,SERVICE_CRASH
36.80262793901512,44.84089764918289,55.65938463165226,459.74295355288876,19.6250922827518,0,1,64,LINK_FAILURE
30.259469269641937,34.719296241067795,70.30018690758556,308.8877108129895,16.6562289329868,0,0,47,LINK_FAILURE
95.93965626248027,88.69090816864075,2.7463830809835645,48.27751362370668,86.42512642790967,5,2,5,SERVICE_CRASH
93.50386505617243,76.35364461171405,47.70433355664773,224.49475532048217,93.27899201167497,5,3,10,DDOS_ATTACK
37.602510946353604,25.838054493264863,0.04836854654828526,5.339458568780747,35.8939391914565,4,1,2,NORMAL
42.413940915019886,47.826533658013545,54.94836182587129,155.69163781510463,9.83111450870888,1,0,62,LINK_FAILURE
27.24948302848356,21.58463068211532,0.02424044689007239,7.733748534889049,51.449677135012834,3,2,2,NORMAL
28.64368384138402,31.879249954321303,80.53949271056563,182.72704767973357,33.290720969940956,1,0,40,LINK_FAILURE
28.07211012290042,34.810056917073474,77.21114223490866,481.37861787342837,19.28660001499597,0,0,51,LINK_FAILURE
100.31866416071736,87.44194501225083,2.5873916998060125,71.21280932496634,66.71090905603464,5,1,2,SERVICE_CRASH
37.75155494034783,44.42432068681887,0.11170122271765741,4.5029427638511015,47.00531658473872,5,2,1,NORMAL
34.042947549616976,40.87576483237831,0.15262644706748318,3.854255820924503,18.33389708850084,3,2,1,NORMAL
91.23749964924843,82.23215335278007,1.673321434091013,44.85406184921506,28.932301761293004,5,3,4,SERVICE_CRASH
33.23800127605945,37.66808016805208,0.017475439498111908,4.8991542965570245,33.43269601777474,5,2,1,NORMAL
96.04604122135453,63.83463072871744,45.250146961149554,235.25498684523686,91.03792424150059,4,3,11,DDOS_ATTACK
97.49747645945709,67.33034053816438,21.90789647465821,270.1690266371827,99.58659113938347,5,2,10,DDOS_ATTACK
88.35065206768704,100.79517395584023,0.44192726414648664,92.50243417841409,54.14045203872972,4,2,3,SERVICE_CRASH
94.22644827461684,64.56963505070357,29.36083530385789,189.6757011766968,92.65710145224841,5,2,21,DDOS_ATTACK
96.60165961987921,71.63437322214142,42.910754438725505,165.97409638582926,90.43165651276881,5,3,16,DDOS_ATTACK
34.22491988853714,50.877988765928066,53.06656541218429,386.2258900942422,5.262410986566021,1,1,61,LINK_FAILURE
96.43041909143447,71.71941403174003,51.65358812430517,304.76442555592564,100.40185341589083,3,3,11,DDOS_ATTACK
20.813480535158018,24.530573591139518,0.03963020841768128,2.8588438406456653,41.82623236457146,5,3,0,NORMAL
15.620254527834522,47.66033272365154,52.04678781266235,239.4545300960922,12.647252806224444,0,0,40,LINK_FAILURE
87.36115850452148,85.81249938802887,1.8190141339856782,59.35111960992541,57.07195819756248,5,3,1,SERVICE_CRASH
85.77756775055568,88.59861770981207,1.2924477147058937,41.91814543134934,49.19681968489815,4,3,0,SERVICE_CRASH
31.864543147694278,44.03989823184366,0.14328775970850607,2.5994071858884475,31.654987641590516,4,2,2,NORMAL
96.9985740163272,77.81464493478309,2.2608231676775326,49.627509984443684,57.62144861480672,5,3,8,SERVICE_CRASH
89.05373134602466,74.97278625363985,2.3959142209580455,48.24241992538437,83.61220179048613,5,2,4,SERVICE_CRASH
90.22439172254751,88.31859585628699,1.6584233677816425,63.00789592878409,45.904461026217724,5,2,2,SERVICE_CRASH
98.72427015590347,70.50408529950357,1.0493093065847447,2.9222800064894017,57.94515633459086,5,2,2,SERVICE_CRASH
48.653656446411595,43.20192812113275,67.46706312414257,317.97094060943067,8.319880761562949,1,0,56,LINK_FAILURE
16.31731061274371,29.97363498157388,-0.03611388704615723,6.885090456906943,35.15227020617449,5,2,1,NORMAL
